#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 0.26, 5323.24
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.25,0.0,0.26,0.00
1,1000,0.25,3.91,0.26,3.84
2,1000,0.26,7.8,0.26,7.68
4,1000,0.26,15.61,0.26,15.34
8,1000,0.25,31.31,0.26,30.59
16,1000,0.26,62.56,0.26,60.84
32,1000,0.27,119.41,0.27,120.30
64,1000,0.27,238.49,0.27,235.27
128,1000,0.28,461.15,0.28,450.63
256,1000,0.3,861.77,0.31,830.92
512,1000,0.53,969.86,0.36,1437.47
1024,1000,0.59,1746.95,0.45,2263.66
2048,1000,0.71,2865.94,0.64,3176.53
4096,1000,0.93,4414.29,1.03,3978.80
8192,1000,1.51,5426.22,1.80,4553.86
16384,1000,2.41,6792.37,3.34,4908.59
32768,1000,3.67,8935.67,6.42,5107.51
65536,640,5.94,11033.9,12.57,5213.14
131072,320,8.92,14700.3,24.88,5267.62
262144,160,18.46,14229.56,49.51,5295.28
524288,80,40.64,12900.62,98.75,5309.22
1048576,40,80.47,13034.09,197.24,5316.22
2097152,20,183.12,11455.9,394.22,5319.73
4194304,10,466.88,8986.35,788.18,5321.48
8388608,5,1029.35,8149.83,1576.11,5322.36
16777216,2,2131.83,7870.75,3151.95,5322.80
33554432,1,6011.88,5581.71,6303.65,5323.02
67108864,1,12473.85,5380.32,12607.03,5323.13
134217728,1,25687.63,5225.2,25213.80,5323.19
268435456,1,52576.05,5105.75,50427.34,5323.21
