#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -56.79, 7360.03
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.32,0.0,-56.79,-0.00
1,1000,1.34,0.75,-56.79,-0.02
2,1000,1.34,1.5,-56.79,-0.04
4,1000,1.33,3.0,-56.79,-0.07
8,1000,1.34,5.99,-56.79,-0.14
16,1000,1.33,12.01,-56.79,-0.28
32,1000,1.34,23.89,-56.79,-0.56
64,1000,1.38,46.29,-56.79,-1.13
128,1000,1.46,87.81,-56.78,-2.25
256,1000,1.94,131.97,-56.76,-4.51
512,1000,2.07,247.49,-56.72,-9.03
1024,1000,2.31,442.69,-56.65,-18.07
2048,1000,2.8,730.69,-56.52,-36.24
4096,1000,3.86,1062.08,-56.24,-72.83
8192,1000,5.41,1515.25,-55.68,-147.12
16384,1000,8.17,2005.02,-54.57,-300.25
32768,1000,11.04,2968.29,-52.34,-626.04
65536,640,16.57,3956.17,-47.89,-1368.48
131072,320,27.66,4740.19,-38.99,-3362.10
262144,160,75.69,3463.95,-21.18,-12378.99
524288,80,111.67,4695.48,14.44,36306.16
1048576,40,178.65,5869.65,85.68,12238.96
2097152,20,311.84,6725.2,228.14,9192.22
4194304,10,553.81,7574.42,513.08,8174.72
8388608,5,1070.39,7837.03,1082.96,7746.01
16777216,2,2142.4,7831.23,2222.71,7548.09
33554432,1,4262.43,7872.2,4502.22,7452.87
67108864,1,8308.03,8077.64,9061.23,7406.16
134217728,1,16809.67,7985.13,18179.25,7383.02
268435456,1,37321.76,7194.96,36415.29,7371.50
