#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 26.64, 7032.62
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.18,0.0,26.64,0.00
1,1000,1.19,0.84,26.64,0.04
2,1000,1.18,1.69,26.64,0.08
4,1000,1.18,3.37,26.64,0.15
8,1000,1.19,6.71,26.64,0.30
16,1000,1.18,13.56,26.64,0.60
32,1000,1.19,27.01,26.64,1.20
64,1000,1.22,52.51,26.65,2.40
128,1000,1.27,100.64,26.66,4.80
256,1000,1.7,150.3,26.68,9.60
512,1000,1.8,284.3,26.71,19.17
1024,1000,2.0,510.87,26.78,38.23
2048,1000,2.44,837.95,26.93,76.05
4096,1000,3.39,1208.45,27.22,150.47
8192,1000,4.73,1730.51,27.80,294.64
16384,1000,7.79,2103.36,28.97,565.58
32768,1000,10.01,3273.93,31.30,1046.96
65536,640,14.61,4484.81,35.96,1822.58
131072,320,24.32,5390.2,45.28,2894.92
262144,160,75.37,3478.42,63.91,4101.49
524288,80,111.55,4700.01,101.19,5181.24
1048576,40,178.7,5867.84,175.74,5966.61
2097152,20,310.4,6756.21,324.84,6455.90
4194304,10,577.24,7266.29,623.05,6731.93
8388608,5,1121.26,7481.55,1219.45,6878.99
16777216,2,2351.57,7134.65,2412.27,6954.96
33554432,1,5023.66,6679.47,4797.90,6993.57
67108864,1,9976.35,6727.37,9569.15,7013.04
134217728,1,19398.87,6919.03,19111.67,7022.82
268435456,1,37930.75,7077.1,38196.70,7027.71
