#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs  mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: -99.82, 4289.25
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.44,0.0,-99.82,-0.00
1,1000,0.45,2.24,-99.82,-0.01
2,1000,0.45,4.48,-99.82,-0.02
4,1000,0.44,9.0,-99.82,-0.04
8,1000,0.45,17.96,-99.81,-0.08
16,1000,0.45,35.91,-99.81,-0.16
32,1000,0.49,65.55,-99.81,-0.32
64,1000,0.48,132.69,-99.80,-0.64
128,1000,0.59,217.05,-99.79,-1.28
256,1000,0.64,402.74,-99.76,-2.57
512,1000,0.95,539.1,-99.70,-5.14
1024,1000,0.99,1034.76,-99.58,-10.28
2048,1000,1.14,1804.18,-99.34,-20.62
4096,1000,1.57,2604.34,-98.86,-41.43
8192,1000,2.08,3948.13,-97.91,-83.67
16384,1000,3.62,4531.55,-96.00,-170.67
32768,1000,5.3,6184.48,-92.18,-355.49
65536,640,9.16,7156.0,-84.54,-775.23
131072,320,15.36,8536.96,-69.26,-1892.51
262144,160,34.23,7661.53,-38.70,-6773.73
524288,80,64.99,8067.81,22.42,23388.53
1048576,40,130.28,8049.0,144.65,7249.08
2097152,20,256.84,8167.09,389.12,5389.53
4194304,10,528.28,7942.96,878.05,4776.85
8388608,5,1112.25,7550.41,1855.91,4519.93
16777216,2,2447.51,6858.03,3811.64,4401.57
33554432,1,7885.1,4255.46,7723.10,4344.68
67108864,1,15772.7,4254.8,15546.03,4316.79
134217728,1,31555.26,4253.42,31191.87,4302.97
268435456,1,62339.75,4306.03,62483.55,4296.10
