#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pg-gnode001],[ct1pg-gnode001]
#header_line 3: 9.21, 2928.64
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,9.01,0.0,9.21,0.00
1,1000,9.18,0.11,9.21,0.11
2,1000,9.33,0.21,9.21,0.22
4,1000,9.17,0.44,9.21,0.43
8,1000,9.18,0.87,9.21,0.87
16,1000,9.2,1.74,9.22,1.74
32,1000,9.22,3.47,9.22,3.47
64,1000,9.27,6.91,9.23,6.93
128,1000,9.57,13.38,9.25,13.83
256,1000,9.59,26.71,9.30,27.53
512,1000,9.75,52.58,9.38,54.56
1024,1000,10.86,94.38,9.56,107.12
2048,1000,10.18,201.28,9.91,206.67
4096,1000,12.13,337.76,10.61,386.10
8192,1000,13.05,628.01,12.01,682.26
16384,1000,17.73,924.42,14.80,1106.70
32768,1000,28.63,1145.09,20.40,1606.37
65536,640,66.15,991.03,31.59,2074.74
131072,320,88.34,1485.15,53.97,2428.82
262144,160,125.34,2092.46,98.72,2655.42
524288,80,198.91,2637.31,188.23,2785.34
1048576,40,352.21,2979.31,367.25,2855.20
2097152,20,677.12,3098.86,725.29,2891.45
4194304,10,1399.18,3000.91,1441.38,2909.93
8388608,5,2802.8,2993.83,2873.55,2919.25
16777216,2,5768.66,2909.51,5737.88,2923.94
33554432,1,11658.96,2880.01,11466.55,2926.29
67108864,1,22690.12,2959.29,22923.90,2927.46
134217728,1,45863.18,2927.97,45838.58,2928.05
268435456,1,91103.42,2947.28,91667.95,2928.35
