#header_line 1: I_MPI_FABRICS=ofi I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: 0.25, 5975.97
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.25,0.0,0.25,0.00
1,1000,0.25,4.04,0.25,4.00
2,1000,0.25,8.15,0.25,7.99
4,1000,0.25,16.28,0.25,15.96
8,1000,0.25,32.52,0.25,31.83
16,1000,0.25,65.17,0.25,63.32
32,1000,0.29,110.07,0.26,125.32
64,1000,0.29,221.62,0.26,245.48
128,1000,0.38,338.75,0.27,471.60
256,1000,0.43,598.76,0.29,874.20
512,1000,0.46,1118.39,0.34,1525.28
1024,1000,0.59,1727.07,0.42,2430.27
2048,1000,0.83,2473.52,0.59,3455.34
4096,1000,1.21,3381.84,0.94,4378.82
8192,1000,1.99,4111.0,1.62,5054.22
16384,1000,3.67,4469.04,2.99,5476.58
32768,1000,4.44,7376.15,5.73,5715.39
65536,640,6.07,10798.13,11.22,5842.78
131072,320,8.59,15262.71,22.18,5908.62
262144,160,12.36,21206.88,44.12,5942.11
524288,80,24.9,21085.45,87.98,5958.99
1048576,40,50.81,20644.61,175.72,5967.47
2097152,20,135.5,15477.63,351.18,5971.72
4194304,10,313.74,13370.69,702.11,5973.84
8388608,5,947.63,8852.65,1403.97,5974.91
16777216,2,2498.71,6714.46,2807.70,5975.44
33554432,1,5636.81,5952.84,5615.14,5975.70
67108864,1,11145.14,6021.42,11230.04,5975.84
134217728,1,22855.34,5872.55,22459.82,5975.90
268435456,1,44318.02,6057.07,44919.39,5975.94
