#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=mlx mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 4.53, 12220.03
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.04,0.0,4.53,0.00
1,1000,1.04,0.96,4.53,0.22
2,1000,1.06,1.9,4.53,0.44
4,1000,1.06,3.8,4.53,0.88
8,1000,1.04,7.66,4.53,1.76
16,1000,1.05,15.29,4.53,3.53
32,1000,1.06,30.13,4.53,7.06
64,1000,1.2,53.44,4.54,14.11
128,1000,1.24,103.13,4.54,28.18
256,1000,1.61,165.36,4.55,56.23
512,1000,1.68,315.97,4.57,111.94
1024,1000,1.7,601.45,4.62,221.84
2048,1000,2.3,889.51,4.70,435.77
4096,1000,3.02,1358.06,4.87,841.53
8192,1000,3.91,2096.5,5.20,1574.63
16384,1000,5.58,2937.38,5.87,2789.77
32768,1000,9.32,3514.88,7.21,4542.51
65536,640,12.3,5330.5,9.90,6623.06
131072,320,21.61,6066.45,15.26,8590.31
262144,160,32.31,8113.26,25.98,10088.62
524288,80,55.43,9465.69,47.44,11052.51
1048576,40,97.31,10775.81,90.34,11606.98
2097152,20,182.24,11508.03,176.15,11905.62
4194304,10,351.83,11921.43,347.76,12060.78
8388608,5,693.23,12100.85,691.00,12139.88
16777216,2,1375.02,12201.64,1377.46,12179.82
33554432,1,2755.92,12175.45,2750.39,12199.89
67108864,1,5500.36,12200.86,5496.24,12209.95
134217728,1,10979.26,12224.73,10987.95,12214.99
268435456,1,21973.92,12216.13,21971.38,12217.51
