#header_line 1: I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=verbs mpirun -np 2 -ppn=1 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,0   ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: -0.31, 8830.63
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,1.2,0.0,-0.31,-0.00
1,1000,1.21,0.83,-0.31,-3.19
2,1000,1.21,1.66,-0.31,-6.39
4,1000,1.21,3.31,-0.31,-12.79
8,1000,1.21,6.62,-0.31,-25.62
16,1000,1.21,13.23,-0.31,-51.39
32,1000,1.21,26.45,-0.31,-103.37
64,1000,1.24,51.65,-0.31,-209.20
128,1000,1.28,100.3,-0.30,-428.54
256,1000,1.7,150.48,-0.28,-900.80
512,1000,1.78,286.99,-0.26,-2006.25
1024,1000,1.96,521.65,-0.20,-5192.12
2048,1000,2.33,880.12,-0.08,-25202.46
4096,1000,3.23,1269.73,0.15,27187.37
8192,1000,4.57,1793.44,0.61,13331.20
16384,1000,7.04,2325.78,1.54,10623.93
32768,1000,9.63,3403.28,3.40,9644.63
65536,640,13.13,4989.87,7.11,9219.69
131072,320,20.08,6527.44,14.53,9020.97
262144,160,63.83,4107.46,29.37,8924.78
524288,80,92.86,5646.26,59.06,8877.46
1048576,40,146.67,7149.54,118.43,8853.98
2097152,20,255.68,8202.55,237.17,8842.29
4194304,10,476.43,8804.18,474.66,8836.45
8388608,5,915.66,9161.38,949.63,8833.54
16777216,2,1857.61,9032.36,1899.58,8832.08
33554432,1,3669.46,9144.75,3799.47,8831.35
67108864,1,7512.54,8933.23,7599.25,8830.99
134217728,1,15362.71,8736.71,15198.80,8830.81
268435456,1,30357.19,8842.75,30397.92,8830.72
