#header_line 1: I_MPI_FABRICS=shm I_MPI_JOB_RESPECT_PROCESS_PLACEMENT=0 I_MPI_OFI_PROVIDER=tcp   mpirun -np 2 -ppn=2 -print-rank-map -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,1  ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode009]
#header_line 3: -52.32, 4146.46
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,0.42,0.0,-52.32,-0.00
1,1000,0.43,2.34,-52.32,-0.02
2,1000,0.43,4.69,-52.32,-0.04
4,1000,0.43,9.37,-52.32,-0.08
8,1000,0.43,18.7,-52.32,-0.15
16,1000,0.43,37.36,-52.32,-0.31
32,1000,0.47,68.59,-52.31,-0.61
64,1000,0.46,137.64,-52.31,-1.22
128,1000,0.58,221.26,-52.29,-2.45
256,1000,0.62,411.38,-52.26,-4.90
512,1000,0.81,630.76,-52.20,-9.81
1024,1000,0.89,1153.86,-52.07,-19.66
2048,1000,1.05,1954.18,-51.83,-39.52
4096,1000,1.48,2764.41,-51.33,-79.79
8192,1000,1.97,4153.26,-50.34,-162.72
16384,1000,3.25,5047.37,-48.37,-338.73
32768,1000,5.08,6453.76,-44.42,-737.72
65536,640,9.22,7109.97,-36.52,-1794.75
131072,320,17.85,7343.65,-20.71,-6328.90
262144,160,34.72,7550.78,10.90,24048.80
524288,80,81.92,6400.51,74.12,7073.35
1048576,40,168.1,6237.84,200.56,5228.14
2097152,20,334.81,6263.68,453.45,4624.90
4194304,10,669.91,6261.03,959.22,4372.63
8388608,5,1431.23,5861.15,1970.76,4256.54
16777216,2,3890.12,4312.92,3993.83,4200.78
33554432,1,8075.66,4155.04,8039.98,4173.45
67108864,1,16148.12,4155.86,16132.29,4159.91
134217728,1,32322.76,4152.43,32316.90,4153.18
268435456,1,64703.6,4148.7,64686.11,4149.82
