#header_line 1: mpirun -np 2 --map-by ppr:2:socket --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode007],[ct1pt-tnode010]
#header_line 3: -0.49, 5325.83
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](fitted),Mbytes/sec(computed)
0,1000,5.37,0.0,-0.49,-0.00
1,1000,5.46,0.18,-0.49,-2.02
2,1000,5.46,0.37,-0.49,-4.05
4,1000,5.46,0.73,-0.49,-8.10
8,1000,5.46,1.47,-0.49,-16.23
16,1000,5.46,2.93,-0.49,-32.56
32,1000,5.47,5.85,-0.49,-65.53
64,1000,5.49,11.66,-0.48,-132.69
128,1000,5.57,23.0,-0.47,-272.17
256,1000,5.59,45.77,-0.45,-573.65
512,1000,5.64,90.79,-0.40,-1285.79
1024,1000,6.26,163.6,-0.30,-3390.01
2048,1000,6.09,336.26,-0.11,-18653.12
4096,1000,7.06,580.28,0.27,14908.28
8192,1000,7.52,1089.43,1.04,7848.04
16384,1000,9.63,1701.15,2.58,6345.49
32768,1000,15.76,2079.73,5.66,5791.12
65536,640,29.57,2216.61,11.81,5548.74
131072,320,39.51,3318.58,24.12,5435.00
262144,160,54.06,4850.61,48.73,5379.86
524288,80,86.45,6065.07,97.95,5352.71
1048576,40,149.96,6993.07,196.39,5339.24
2097152,20,285.35,7353.28,393.28,5332.53
4194304,10,578.26,7254.74,787.05,5329.18
8388608,5,1458.38,5753.27,1574.58,5327.51
16777216,2,3154.23,5319.01,3149.66,5326.67
33554432,1,6408.57,5236.72,6299.82,5326.25
67108864,1,12751.22,5263.38,12600.14,5326.04
134217728,1,25446.44,5275.27,25200.77,5325.94
268435456,1,50235.46,5343.56,50402.03,5325.89
