#header_line 1: mpirun -np 2 --map-by ppr:1:socket --mca pml ob1 --mca btl vader,self --mca btl_base_verbose 5 --mca plm_base_verbose 5 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#header_line 2: [ct1pt-tnode009],[ct1pt-tnode010]
#header_line 3: 0.62, 3136.59
#header: #bytes,#repetitions,t[usec],Mbytes/sec,t[usec](extrapolated),Mbytes/sec(computed)
0,1000,0.55,0.0,0.62,0.00
1,1000,0.62,1.6,0.62,1.61
2,1000,0.62,3.21,0.62,3.22
4,1000,0.62,6.42,0.62,6.44
8,1000,0.62,12.82,0.62,12.85
16,1000,0.66,24.35,0.63,25.60
32,1000,0.72,44.74,0.63,50.78
64,1000,0.83,77.49,0.64,99.94
128,1000,1.05,122.59,0.66,193.70
256,1000,1.2,213.65,0.70,364.87
512,1000,1.09,472.61,0.78,653.70
1024,1000,1.42,724.08,0.95,1081.92
2048,1000,1.83,1122.55,1.27,1608.88
4096,1000,2.72,1507.14,1.93,2126.82
8192,1000,3.29,2492.24,3.23,2534.85
16384,1000,3.69,4444.13,5.84,2803.80
32768,1000,5.01,6555.79,11.07,2960.87
65536,640,6.22,10552.68,21.51,3046.20
131072,320,11.24,11684.06,42.41,3090.73
262144,160,19.83,13223.7,84.20,3113.49
524288,80,39.93,13133.63,167.77,3125.00
1048576,40,92.24,11371.42,334.92,3130.78
2097152,20,221.81,9456.26,669.23,3133.68
4194304,10,448.5,9372.42,1337.84,3135.14
8388608,5,1145.75,7321.79,2675.06,3135.86
16777216,2,4189.48,4004.81,5349.49,3136.23
33554432,1,10952.53,3064.85,10698.36,3136.41
67108864,1,21847.46,3071.71,21396.10,3136.50
134217728,1,42112.57,3187.12,42791.59,3136.54
268435456,1,83340.86,3222.67,85582.56,3136.57
